Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
BEL,Belgium,Europe,Western Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"Brussels capital region: fund of 29 million EUR for support to care sector. In Belgium, human health and social work actives account for is 25.8% compared to 5.9% of men's. The funds are distributed as following: (1) 2.32 million euros for the sector of homecare professionals to re-arrange working shifts, the creation of a new electronic communication system and to buy extra material necessary. (2) 3.95 million for retirement homes to pay extra shifts by part-time personnel and protection material. (3) 4.97 million for social protection programs. Specifically, the funds were distributed among the following topics: migrants in transit, homelessness, emergency response teams, reinforcement of day centres, and violence against women. Regarding this last program, the funds are available for booking a max. of 50 hotel rooms in case there is a saturation of the existent houses of refuge for abused women (with or without children). The funds are also directed into making sure there is an adequate psychological support and monitoring of the case by social services.",https://ec.europa.eu/info/sites/info/files/coronovirus-policy-measures-6-april_en_1.pdf; https://pro.guidesocial.be/articles/actualites/bruxelles-un-fonds-de-29-millions-d-euros-pour-aider-le-non-marchand,NO,YES,NO,YES,NO,NO,NO
BGR,Bulgaria,Europe,Eastern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Support to the health sector includes an additional payment of BGN 1000 a month (USD 566) for doctors and nurses working in the frontline. In Bulgaria, women comprise 77,4% of the health care workers.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2262;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
CZE,Czechia,Europe,Eastern Europe,Labour market,Activation measures and enterprise development,Not specific,"SA.58167 COVID-19 - CZ - 3.1 TF - Operational Programme Employment which was  issued in the form of a grant. The aim of the measure is to provide support to projects relating to (i) employee training, (ii) childcare facilities, rent for childcare facilities and upskilling of caregivers and (iii) wage subsidies for jobs created for disadvantaged people and for employers who employ unemployed people in line with the objectives of the Operational Programme Employment 2014-2020 EUR. Through its childcare initiatives, this measure directly supports women's unpaid care work. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; https://ec.europa.eu/commission/presscorner/detail/en/mex_20_1520 ,NO,NO,YES,YES,NO,NO,NO
FIN,Finland,Europe,Northern Europe,Labour market,Labor regulatory adjustment,Not specific,"In the case of nursing and other critical personnel, exceptions can be made to the provisions of the Working Hours Act and the Annual Holidays Act in both the private and public sector. Also, the length of the periods of notice of employees willing to resign is extended in order to secure the availability of skilled nursing personnel. ",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2511,NO,YES,NO,YES,NO,NO,NO
FRA,France,Europe,Western Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Labour negotiations were held in July 2020 and resulted in an increase in the salaries of staff in public hospitals and paramedic staff, the majority of which were women (75%). Public sector health professionals will benefit from an increase of 183 EUR net monthly, and those of the private sector 160 EUR. Nearly 2 million professionals in health establishments and nursing homes - nurses, nursing assistants, midwives, radio operators, medical secretaries, etc. - will see their remuneration increased by 183 EUR net a month. The public service engagement allowanse for medical professionals in public hospitals will be increased in two phases to 1010 EUR a month. The anticipation of these upgrades correspond to an unprecedented commitment by the government given the exceptional mobilization of health professionals to deal with the COVID-19 epidemic.","https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/segur-de-la-sante-le-gouvernement-accelere-la-revalorisation-de-tous-les#:~:text=L'accord%20relatif%20aux%20personnels,euros%20au%201er%20mars%202021;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A
",NO,YES,NO,YES,NO,NO,NO
FRA,France,Europe,Western Europe,Labour market,Activation measures and enterprise development,Not specific,"Training in the healthcare sector to double the training capacities of nursing assistants, nurses and carers over the next 5 years. ","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2521;
",NO,YES,NO,YES,NO,NO,NO
GRC,Greece,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,Eligibility for special leave or part-time work without deduction from pay for all working in public sector parents of children enrolled in educational units whose operation has been suspended under a state decision. ,"http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf;

https://www.cnn.gr/oikonomia/story/241022/epidoma-eidikoy-skopoy-poioi-einai-dikaioyxoi-ton-534-eyro ",NO,NO,YES,YES,NO,NO,NO
NLD,Netherlands,Europe,Western Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,Financial compensation for a period of up to 5 weeks for fishermen who cannot sail out (€9 mln available).,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-3035,NO,NO,NO,NO,YES,NO,NO
PRT,Portugal,Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA 56886 The public support will consist in the provision of loans worth up to 20 million EUR with subsidized interest rates, to help companies active in the fishery and aquaculture sector (such as fishing companies, producers' organizations and companies active in the processing of fishery and aquaculture products) overcome cash difficulties arising from the current crisis.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_56886; 
https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_59714",NO,NO,NO,NO,YES,NO,NO
ISL,Iceland,Europe,Northern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Wage enhancement paid to healthcare workers. In Iceland, women comprise around 74% of the health care workers.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2684;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
ITA,Italy,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,"Parents of children younger than 14 working in the private sector have the right to work from home, if the other parent is working and nobody in the family benefits from social assistance measures.",http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf,NO,NO,YES,YES,YES,NO,NO
LVA,Latvia,Europe,Northern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"The government has introduced an “allowance for idle time”, which covers unpaid salaries in the period between 14 March-30 June, as well as employees whose economic activity does not exceed 430 EUR (471 USD) per month. Employees receiving the allowance will also receive a supplement of 50 USD (55 USD) for each dependent child up to 24 years of age.",http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf,NO,NO,YES,YES,NO,NO,NO
LVA,Latvia,Europe,Northern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"About 4500 health care workers will receive a  20 percent bonus payment. In Latvia, women comprise approximately 85% of the health care workers.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2853;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
LVA,Latvia,Europe,Northern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA 56932 - Scheme to support companies of all sizes active in the agricultural and fishery sector, in the food industry and in the school catering sector that are facing difficulties due to the coronavirus outbreak. In Latvia, employment in education, human health and social work activities accounts for 26.1% of women's employment compared to 4.4% of men's employment. The aid is set to tackle (1) income stabilization; (2) destroyed/donated products; and (3) accrued costs of stocks and decreasing turnover.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; 
https://ec.europa.eu/competition/state_aid/cases1/202017/285408_2149556_66_2.pdf ",NO,YES,NO,YES,YES,NO,NO
PRT,Portugal,Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,SA.58423 Credit line for anticipating the support provided for in the POSEI Program to producers and companies in the agricultural and agri-food sectors in the Autonomous Region of Madeira COVID19,"https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_58423",NO,NO,NO,NO,YES,NO,NO
